asin,price,recorded_at,scraped_at,old_price
B076PFFRN2,309.9,2025-02-02 21:14:17.166140,2025-02-02 21:14:17.166140,309.9
B07BT11JYC,269.99,2025-02-03 13:16:56.570281,2025-02-03 13:16:56.570281,269.99
B07BT11JYC,269.99,2025-02-03 13:17:01.750108,2025-02-03 13:17:01.750108,269.99
B07CVM9V3X,622.0,2025-02-02 21:14:13.527365,2025-02-02 21:14:13.527365,622.0
B07GV5MCK4,49.99,2025-02-03 13:16:54.896228,2025-02-03 13:16:54.896228,49.99
B07GV5MCK4,49.99,2025-02-03 13:17:00.011277,2025-02-03 13:17:00.011277,49.99
B07TCTYR4X,656.89,2025-02-02 19:47:21.953778,2025-02-02 19:47:21.953778,656.89
B07TCTYR4X,656.89,2025-02-02 21:14:10.142414,2025-02-02 21:14:10.142414,656.89
B07TCTYR4X,656.89,2025-02-02 21:14:13.566471,2025-02-02 21:14:13.566471,656.89
B07VTMHTDF,38.7,2025-02-02 19:43:29.392174,2025-02-02 19:43:29.392174,38.7
B07VTMHTDF,38.7,2025-02-02 19:43:36.750372,2025-02-02 19:43:36.750372,38.7
B07VTMHTDF,38.7,2025-02-02 19:46:34.575906,2025-02-02 19:46:34.575906,38.7
B07VTMHTDF,38.7,2025-02-02 19:46:38.752363,2025-02-02 19:46:38.752363,38.7
B07VTP4ZQW,38.4,2025-02-02 19:43:27.336627,2025-02-02 19:43:27.336627,38.4
B07VTP4ZQW,38.4,2025-02-02 19:43:34.995635,2025-02-02 19:43:34.995635,38.4
B07VTP4ZQW,38.4,2025-02-02 19:46:33.637786,2025-02-02 19:46:33.637786,38.4
B07VTP4ZQW,38.4,2025-02-02 19:46:37.728912,2025-02-02 19:46:37.728912,38.4
B083G15VSX,539.99,2025-02-02 19:47:18.185128,2025-02-02 19:47:18.185128,539.99
B083G15VSX,539.99,2025-02-02 19:47:19.708577,2025-02-02 19:47:19.708577,539.99
B083G15VSX,539.99,2025-02-02 19:47:21.139631,2025-02-02 19:47:21.139631,539.99
B083G15VSX,539.99,2025-02-02 19:47:21.820370,2025-02-02 19:47:21.820370,539.99
B083G15VSX,539.99,2025-02-02 19:47:23.137979,2025-02-02 19:47:23.137979,539.99
B083G15VSX,539.99,2025-02-02 19:47:24.592234,2025-02-02 19:47:24.592234,539.99
B083G15VSX,539.99,2025-02-02 21:14:09.898697,2025-02-02 21:14:09.898697,539.99
B083G15VSX,539.99,2025-02-02 21:14:10.062553,2025-02-02 21:14:10.062553,539.99
B083G15VSX,539.99,2025-02-02 21:14:13.076396,2025-02-02 21:14:13.076396,539.99
B083G15VSX,539.99,2025-02-02 21:14:13.323498,2025-02-02 21:14:13.323498,539.99
B083G15VSX,539.99,2025-02-02 21:14:13.487535,2025-02-02 21:14:13.487535,539.99
B083G15VSX,539.99,2025-02-02 21:14:17.022875,2025-02-02 21:14:17.022875,539.99
B084GYCRLB,208.99,2025-02-02 19:47:20.834270,2025-02-02 19:47:20.834270,208.99
B084GYCRLB,208.99,2025-02-02 19:47:24.378498,2025-02-02 19:47:24.378498,208.99
B084GYCRLB,208.99,2025-02-02 21:14:12.874290,2025-02-02 21:14:12.874290,208.99
B084GYCRLB,208.99,2025-02-02 21:14:16.473924,2025-02-02 21:14:16.473924,208.99
B08BX3M5FD,419.9,2025-02-02 21:14:13.605387,2025-02-02 21:14:13.605387,419.9
B08HMKWWY3,399.0,2025-02-02 19:47:20.557951,2025-02-02 19:47:20.557951,399.0
B08HMKWWY3,399.0,2025-02-02 19:47:24.104296,2025-02-02 19:47:24.104296,399.0
B08HMKWWY3,399.0,2025-02-02 21:14:12.699261,2025-02-02 21:14:12.699261,399.0
