asin,name,price,old_price,discount,description,rating,reviews,availability,affiliate_link
B0CYHFW8J3,"MSI Thin 15 B13UCX-2008IT, Notebook Gaming, 15.6"" FHD 144Hz, i7-13620H, Nvidia RTX 2050 GDDR6 4GB, SSD PCIe4 512GB, RAM DDR4 16GB 3200MHz, WiFi 6E, Win 11 Home [Layout e Garanzia ITA] Gray",799.0,949.0,150.0,N/A,4.0,,,https://www.amazon.it/dp/B0CYHFW8J3/?tag=mikrotech-21
B07RM8N18T,"HP 250 G9 Notebook Portatile, RAM 8 Gb DDR4, Ssd M2 128GB Display HD 15.6"", Intel Celeron 2 Core fino a 2,8 GHz, Wi-fi, 3 usb, webcam HD, Win 11 Pro 64 bit, Libre office, pronto All'uso",299.99,329.99,30.0,N/A,3.0,,,https://www.amazon.it/dp/B07RM8N18T/?tag=mikrotech-21
B0DFQ9ZCNB,"Acer Swift 14 AI SF14-51-794K PC Portatile, Notebook IA, Processore Intel Core Ultra 7 258V, RAM 32 GB DDR5, 1024 GB PCIe SSD, Display 14"" WUXGA OLED, Intel Arc Graphics, Windows 11 Home - PC COPILOT+",1349.0,1349.0,0.0,N/A,,,,https://www.amazon.it/dp/B0DFQ9ZCNB/?tag=mikrotech-21
B0CSDKHRZQ,"MSI Cyborg 15 A13VE-656IT, Notebook Gaming, 15,6"" FHD 144Hz, Intel i7-13620H, Nvidia RTX 4050 GDDR6 6GB, 1TB SSD PCIe4, RAM DDR5 16GB, WiFi 6E, Win11 Home [Layout e Garanzia ITA]",1099.0,1099.0,0.0,N/A,4.0,,,https://www.amazon.it/dp/B0CSDKHRZQ/?tag=mikrotech-21
B08T9V1FG9,"HP 250 G9 Computer portatile 39,6 cm (15.6"") 1366 x 768 Pixel Intel N4500 8 GB DDR4-SDRAM 256 GB SSD Wi-Fi Windows 11 Pro",279.0,279.0,0.0,N/A,4.0,,Scelta Amazonper laptop,https://www.amazon.it/dp/B08T9V1FG9/?tag=mikrotech-21
B0DHLCF9L7,Pc Portatile 15.6 Pollici Celeron N5095 upto 2.9GHz Win11 Pro 8GB 256GB SSD Espansione1TB 5G WiFi Laptop 1920 * 1080 FHD BT4.2 USB HDMl Notebook con Tastiera Italiana Membrana e Mouse-Grigio Portatili,279.99,1399.99,1120.0,N/A,4.0,,,https://www.amazon.it/dp/B0DHLCF9L7/?tag=mikrotech-21
B0CNWFDV94,"HP Laptop 14s-dq3000sl, Intel Celeron N4500, RAM 4GB DDR4, SSD 128 GB, Scheda Intel UHD, Display 14 FHD, SVA, Antiriflesso, Wi-Fi, Bluetooth 4.2, Windows 11S, Microsoft 365 Incluso, Argento",229.99,293.18,63.19,N/A,4.0,,Esclusiva Amazon,https://www.amazon.it/dp/B0CNWFDV94/?tag=mikrotech-21
252344538b10b1df7430e40503387791,"MSI Thin 15 B13UCX-2008IT, Notebook Gaming, 15.6"" FHD 144Hz, i7-13620H, Nvidia RTX 2050 GDDR6 4GB, SSD PCIe4 512GB, RAM DDR4 16GB 3200MHz, WiFi 6E, Win 11 Home [Layout e Garanzia ITA] Gray",799.0,949.0,150.0,N/A,4.0,,,https://www.amazon.it/dp/252344538b10b1df7430e40503387791/?tag=mikrotech-21
B0CYHFW8J3,"MSI Thin 15 B13UCX-2008IT, Notebook Gaming, 15.6"" FHD 144Hz, i7-13620H, Nvidia RTX 2050 GDDR6 4GB, SSD PCIe4 512GB, RAM DDR4 16GB 3200MHz, WiFi 6E, Win 11 Home [Layout e Garanzia ITA] Gray",799.0,949.0,150.0,N/A,4.0,,,https://www.amazon.it/dp/B0CYHFW8J3/?tag=mikrotech-21
B0D9B9VH47,"AOC 2025 PC Portatile, 12 N97 CPU(Fino to 3,6GHz), 15,6 Pollici Notebook, 16GB DDR4 RAM 512GB SSD(Fino a 2TB) M,2 2280 NGFF Laptop, WiFi,BT5.1, Tipo C,USB3.2, HDMI, Sistema Versione 11 Pro",399.99,399.99,0.0,N/A,4.0,,,https://www.amazon.it/dp/B0D9B9VH47/?tag=mikrotech-21
B0938HTZTQ,"Lenovo Notebook SSD Intel i3 di 12Th, Display da 15,6"" FULL HD 1920x1080, Ram 16 Gb DDR4, SSD M2 500Gb, lan, wifi,bt, Webcam, Win11 Pro, Office Pro, Pronto All'uso, Gar Italia",518.99,518.99,0.0,N/A,4.0,,,https://www.amazon.it/dp/B0938HTZTQ/?tag=mikrotech-21
B0CQ2RTBR1,"ASUS TUF Gaming F15 FX507VV#B0CQ2RTBR1, Notebook con Monitor 15,6"" FHD Antiglare, 144Hz, Intel Core 13esima gen i7-13620H, RAM 16GB, 1TB SSD PCIE, NVIDIA GeForce RTX 4060 8GB, Win 11 Home, Grigia",1299.0,1299.0,0.0,N/A,4.0,,,https://www.amazon.it/dp/B0CQ2RTBR1/?tag=mikrotech-21
B0CT7VZWLV,"Gezoon PC Computer Portatile, 14.1 Pollici Win 11 Pro 8GB LPDDR4 256G SSD Laptop, Celeron N4020C Fino a 2,8GHz Notebook, FHD 1920x1080, 2.4G/5G WiFi, BT4.2, 4K Video, Type-C, 7.6V/5000mAH",249.99,279.99,30.0,N/A,4.0,,,https://www.amazon.it/dp/B0CT7VZWLV/?tag=mikrotech-21
B0CWRT965H,"Samsung Galaxy Book4, Intel Core 5 Processor, 16GB RAM, 512GB, Laptop 15.6"" LED IPS Full HD, Windows 11 Home, Gray [Versione Italiana]",679.9,1099.0,419.1,N/A,4.0,,Più vendutoin Notebook tradizionali,https://www.amazon.it/dp/B0CWRT965H/?tag=mikrotech-21
B09Q3Q3YDV,"Lenovo, Pc Portatile Notebook, Display FHD da 15,6"", CPU Intel N4500, Ram 8Gb, SSD 256Gb, Computer Portatile",265.0,270.0,5.0,N/A,4.0,,,https://www.amazon.it/dp/B09Q3Q3YDV/?tag=mikrotech-21
B0BLV9834D,"ALLDOCUBE GTBook 15 Portatili, 15.6 Pollici Notebook, Windows 11 Laptop, Celeron N5100, 12GB RAM, SSD 256GB, 2.4+5GHz WiFi, BT 5.0, Tipo C, USB 3.0, HDMI, Grigio",199.99,199.99,0.0,N/A,3.0,,,https://www.amazon.it/dp/B0BLV9834D/?tag=mikrotech-21
B0BCG8WJ75,"HP 250 G9, Notebook Display 15.6'' FHD, Intel Core i5-12th 10 Core 4.4Ghz, Ram 16GB, SSD 512GB, Windows 11",439.0,498.0,59.0,N/A,4.0,,,https://www.amazon.it/dp/B0BCG8WJ75/?tag=mikrotech-21
B0CQ5JQRTD,"HP 250 G9, Notebook Pc Portatile, Display HD 15,6, CPU Intel Celeron N4500, 16 GB Ram DDR4, 512 GB SSD NVMe, Windows 11 Pro, Pronto AllUso",329.9,329.9,0.0,N/A,4.0,,,https://www.amazon.it/dp/B0CQ5JQRTD/?tag=mikrotech-21
B0D836GQL5,"PC Portatile 16 Pollici Computer Portatile Win11 12GB 512GB 1TB SSD Espansione N5095 fino a 2.9Ghz, Notebook Laptop Ventola di Raffreddamento5GWIFI2K FHDMini HDMlMembrana Tastiera Italiana- Viola",299.49,299.49,0.0,N/A,4.0,,,https://www.amazon.it/dp/B0D836GQL5/?tag=mikrotech-21
b965164ed183e120c40f874fda7e7fc0,"ASUS Notebok Vivobook OLED Display 2,8K 15.6"" 2880x1620, Cpu iNTEL I7 1355u, 10 Core, Ram 40Gb, SSD 512Gb Nvme, Win11, wi-fi 6, webcam, Usb3.2, Hdmi, Bt5.3, Tastiera retroilluminata, Preconfigurato",999.0,999.0,0.0,N/A,4.0,,,https://www.amazon.it/dp/b965164ed183e120c40f874fda7e7fc0/?tag=mikrotech-21
B0DQVB5CTJ,"15.6 pollici Notebook, Windows 11 PC Portatile Celeron N4000 CPU, Laptop 8GB LPDDR4 RAM 256GB SSD, Schermo IPS FHD 1920*1080, USB3.0+BT4.2+Mini HDMI, TF Card Slot Supporta Espansione Fino a 1 TB",239.0,239.0,0.0,N/A,5.0,,,https://www.amazon.it/dp/B0DQVB5CTJ/?tag=mikrotech-21
B0CK8D4G2G,"Lenovo IdeaPad Slim 3 Notebook 15,6 FHD (1920x1080) - AMD Ryzen 5 7520U, 16GB RAM, 512GB SSD, Windows 11 Home, WiFi 6 - Arctic Grey, Esclusiva Amazon",519.0,549.0,30.0,N/A,4.0,,Esclusiva Amazon,https://www.amazon.it/dp/B0CK8D4G2G/?tag=mikrotech-21
B0D54CZXPJ,"PC Portatile da 14,1 pollici,6GB di RAM,128GB di SSD,N4000 Celeron Dual-Core,Wi-Fi Bluetooth 2,4/5,0G,19201080 UHD,Notebook Design Senza Ventola,Mouse Incluso,Tastiera a Membrana.",189.99,189.99,0.0,N/A,4.0,,,https://www.amazon.it/dp/B0D54CZXPJ/?tag=mikrotech-21
B0CSDJTSK1,"MSI Titan 18HX A14VIG-087IT, Notebook Gaming, 18"" 16:10 UHD+ MiniLED 120Hz, Intel i9-14900HX, Nvidia RTX 4090 GDDR6 16GB, 2TB SSD PCIe4, DDR5 64GB, WiFi 7, Win11 Pro [Layout e Garanzia ITA] Nero",5799.0,5799.0,0.0,N/A,4.0,,,https://www.amazon.it/dp/B0CSDJTSK1/?tag=mikrotech-21
B08VMNVCW4,"Notebook Hp G9 Intel i3-1215u 6 Core 4,4 Ghz 15,6"" Full Hd, Ram 8Gb Ddr4, Ssd Nvme 256Gb M2, Hdmi, Usb 3.0, Wifi, Lan,Bluetooth, Webcam, Windows 11 Professional,Libre Office",408.99,408.99,0.0,N/A,4.0,,,https://www.amazon.it/dp/B08VMNVCW4/?tag=mikrotech-21
B0D8L79YR8,"AOC PC Portatile, In-tel Alder Lake-N97 Fino a 3,6 GHz, 15,6 Pollici FHD Notebook, 16GB RAM 512GB M.2 SSD Laptop Computer Portatile Guscio Metallico 2.4G/5G WiFi,BT5.2,USB3,2, HDMI,Tipo C,5000mAh",300.99,389.99,89.0,N/A,4.0,,,https://www.amazon.it/dp/B0D8L79YR8/?tag=mikrotech-21
B0D7WDV482,"acer Chromebook 314 CBOA314-1H-C4ZG, Notebook, PC Portatile, Processore Intel Celeron N4500, Ram 4 GB DDR4, eMMC 128 GB, Display 15.6"" FHD, Scheda Grafica Intel UHD, Nero, ChromeOS",174.0,174.0,0.0,N/A,4.0,,,https://www.amazon.it/dp/B0D7WDV482/?tag=mikrotech-21
B0CW5ZQ2YX,"HP Victus 15-fa1007sl Notebook, Intel Core i5-12450H, RAM 16GB, 512GB SSD PCIe, Display 15.6"" FHD IPS 144Hz, Scheda Grafica Nvidia RTX 4050 da 6GB, Wi-Fi 6E, BLE 5.3, Windows 11, Grigio",749.99,749.99,0.0,N/A,4.0,,,https://www.amazon.it/dp/B0CW5ZQ2YX/?tag=mikrotech-21
B0CTCCZ2VV,"acer Aspire 3 15 A315-44P-R1EP PC Portatile, Notebook, Processore AMD Ryzen 7 5700U, RAM 16 GB DDR4, 1024 GB PCIe NVMe SSD, Display 15.6"" FHD LCD, Scheda Grafica AMD Radeon, Windows 11 Home, Silver",539.0,610.39,71.38999999999999,N/A,4.0,,Esclusiva Amazon,https://www.amazon.it/dp/B0CTCCZ2VV/?tag=mikrotech-21
B0D8L79YR8,"AOC PC Portatile, In-tel Alder Lake-N97 Fino a 3,6 GHz, 15,6 Pollici FHD Notebook, 16GB RAM 512GB M.2 SSD Laptop Computer Portatile Guscio Metallico 2.4G/5G WiFi,BT5.2,USB3,2, HDMI,Tipo C,5000mAh",300.99,389.99,89.0,N/A,4.0,,,https://www.amazon.it/dp/B0D8L79YR8/?tag=mikrotech-21
B0CP7V6SYC,"HP Laptop 15s-fq5007sl, Notebook, Intel Core i5-1235U, RAM 16GB DDR4, SSD 512 GB, Intel Iris X, Display 15.6 FHD, IPS, Antiriflesso, Wi-Fi, Lettore SD, Webcam HD, Windows 11, Argento",529.99,529.99,0.0,N/A,4.0,,Esclusiva Amazon,https://www.amazon.it/dp/B0CP7V6SYC/?tag=mikrotech-21
B0DBHN2H94,bvate PC Computer Portatile 14 pollici Laptop Win 11 upto 2.8 GHz 256 GB ROM Supporta l'espansione SSD 1TB Celeron N4020 2.4G+5G WiFi 4.2 USB HDMI Tastiera italiana membrana mouse senza fili-Grigio,199.99,199.99,0.0,N/A,4.0,,,https://www.amazon.it/dp/B0DBHN2H94/?tag=mikrotech-21
B0D8WDJXR6,"bvate PC Portatile 14"" Win 11 Notebook 256 GB ROM Supporta l'espansione SSD 1TB 8GB RAM 2.4G+5G WiFi 1080 FHD BT4.2 USB HDMI con mouse senza fili & adesivi per tastiera Italiana-Grigio",229.49,229.49,0.0,N/A,4.0,,,https://www.amazon.it/dp/B0D8WDJXR6/?tag=mikrotech-21
B0CW68YK1N,"HP Pavilion 15-eh3000sl, AMD Ryzen 7-7730U, RAM 16GB DDR4, SSD 1TB, Display 15,6"" FHD IPS Antiriflesso, Grafica AMD Integrata, Audio B&O, Wi-Fi, Ble, Webcam HD, Windows 11, Argento",649.99,649.99,0.0,N/A,4.0,,,https://www.amazon.it/dp/B0CW68YK1N/?tag=mikrotech-21
B0DFQGDPJD,"HP 250 G9, Computer Portatile Notebook, Intel i5-1235u 10 Core 4.4Ghz, Display 15.6'' FHD, Ram 16GB, SSD 512GB, Windows 11, Pronto all'uso con Libre Office",449.0,449.0,0.0,N/A,4.0,,,https://www.amazon.it/dp/B0DFQGDPJD/?tag=mikrotech-21
B0D5RFLLH4,"ASUS Chromebook CM1402CM2A#B0D5RFLLH4, Notebook con Monitor da 14"" Anti-glare, 60Hz, Processore MediaTek Kompanio 520, RAM 8GB, 128GB eMMC, grafica ARM Mali-G52 MC2, ChromeOS, Grigio",229.0,249.0,20.0,N/A,4.0,,,https://www.amazon.it/dp/B0D5RFLLH4/?tag=mikrotech-21
B0CGDJ67QR,"Acer Nitro V 15 ANV15-51-5673 Notebook Gaming, Processore Intel Core i5-13420H, Ram 16 GB DDR5, 512 GB SSD, Display 15.6"" FHD IPS 144 Hz LED LCD, NVIDIA GeForce RTX 4050 6 GB, Windows 11 Home",849.0,899.0,50.0,N/A,4.0,,,https://www.amazon.it/dp/B0CGDJ67QR/?tag=mikrotech-21
B0DFWYP4RJ,"HP 250 G9, Notebook Computer Portatile, Intel N4500, Display HD da 15,6"", Ram 16 Gb DDR4, SSD NVMe 512 Gb, W11 Pro, Libre Office Preconfigurato",329.0,399.0,70.0,N/A,4.0,,,https://www.amazon.it/dp/B0DFWYP4RJ/?tag=mikrotech-21
B09HMXSB2B,"Lenovo, Pc portatile Intel Core i5 Pronto All'Uso con Pacchetto libre office, Notebook Con Display HD da 14"", Ram 16Gb, SSD 512Gb, Garanzia Italiana (Ricondizionato)",259.0,299.0,40.0,N/A,4.0,,Più vendutoin Renewed: Portatili,https://www.amazon.it/dp/B09HMXSB2B/?tag=mikrotech-21
B0CYQ8P5L8,"HUAWEI MateBook X Pro Laptop, Display OLED Real Colour da 14,2 Pollici, Processore Intel Core Ultra 9, 32GB RAM, SSD da 1TB, Case in Metallo Ultraleggero di 980 g, Blu Morandi",2299.0,2299.0,0.0,N/A,4.0,,,https://www.amazon.it/dp/B0CYQ8P5L8/?tag=mikrotech-21
B09YXPRN14,"MSI Modern 14 C13M-613IT, Notebook 14"" FHD 60Hz, Intel i7-1355U, Intel Iris Xe, RAM 16GB DDR4 3200MHz, 512GB SSD PCIe3, WiFi 6, Win 11 Home, Layout e Garanzia ITA, Nero",699.0,699.0,0.0,N/A,4.0,,,https://www.amazon.it/dp/B09YXPRN14/?tag=mikrotech-21
B0CQ2QR1WP,"ASUS TUF Gaming F15 FX507VU#B0CQ2QR1WP, Notebook con Monitor 15,6"" FHD Antiglare, 144Hz, Intel Core 13esima Gen i7-13620H, RAM 16GB, 512GB SSD PCIE, NVIDIA GeForce RTX 4050 6GB, Win 11 Home, Grigio",1049.0,1049.0,0.0,N/A,4.0,,,https://www.amazon.it/dp/B0CQ2QR1WP/?tag=mikrotech-21
B0CJVQ6894,"MSI Prestige 13Evo A13M-239IT, Notebook 13.3"" FHD+ 60Hz, Intel i7-1360P, Intel Iris Xe, 16GB RAM LPDDR5 4800MHz, 1TB SSD PCIe4, WiFi 6E, Win 11 Home, Layout ITA, Bianco",999.0,999.0,0.0,N/A,4.0,,,https://www.amazon.it/dp/B0CJVQ6894/?tag=mikrotech-21
B0D8VQYTLQ,"PC Portatile da 15,6 pollici, Notebook 16 GB RAM 512 GB SSD, Celeron N5095 Laptop WiFi dual-band Touch ID 1920 * 1080 FHD, con mini HDMI, 2xUSB 3.0, laptop con tastiera retroilluminata full size",285.99,285.99,0.0,N/A,4.0,,,https://www.amazon.it/dp/B0D8VQYTLQ/?tag=mikrotech-21
B0DLGN27FY,"FUNYET Computer portatile da 15,6 pollici Celeron N4000, Windows 11, portatile 8 GB RAM LPDDR4 256 GB SSD, convertibile 180 Portatile Laptop IPS FHD Schermo 1920 x 1080, BT5.0, USB3.0, HDMI, TF Card",209.99,209.99,0.0,N/A,4.0,,,https://www.amazon.it/dp/B0DLGN27FY/?tag=mikrotech-21
B0BFB11YY6,"Lenovo Notebook NUOVO  Ram 16GB  CPU Intel i5-13420H  Monitor 15.6"" Full HD  SSD 512 GB  Ingresso LAN, HDMI, USB  Sistema operativo Win11 e Libre Office  Pc portatile pronto all'uso",458.0,458.0,0.0,N/A,4.0,,,https://www.amazon.it/dp/B0BFB11YY6/?tag=mikrotech-21
B0916JMS8R,"HP Notebook i3 Six Core 250 G9 Grey Portatile Display Led 15.6"" Full HD Cpu Intel core i3-1215U 12Th Gen Fino a 4,4Ghz /Ram 8Gb DDR4 /SSD M2 Nvme 256GB /Hdmi Lan Wifi Bluetooth/Windows 11 Pro",319.0,329.0,10.0,N/A,4.0,,,https://www.amazon.it/dp/B0916JMS8R/?tag=mikrotech-21
B0D8W92FCM,bvate PC Portatile 14 pollici Notebook Win 11 upto 2.8 GHz 256 GB ROM Supporta l'espansione SSD 1TB Celeron N4020 2.4G+5G WiFi 4.2 USB HDMI Tastiera italiana membrana mouse senza fili-Grigio,212.99,212.99,0.0,N/A,4.0,,,https://www.amazon.it/dp/B0D8W92FCM/?tag=mikrotech-21
B0DKX469QP,"ACEMAGIC PC Portatile i-ntel N97 (Fino a 3,6Ghz) 15,6 pollice Notebook 16GB RAM 512GB SSD(Fino 2 TB) Laptop, 3 USB 3.2 Computer Portatile,HDMI,Type-C 5000mAh,IPS 16:9 PC Portatili - Copertura Webcam",306.84,322.99,16.150000000000034,N/A,4.0,,,https://www.amazon.it/dp/B0DKX469QP/?tag=mikrotech-21
